country,x,y
Albania,167.0,-187.0
Andorra,-64.0,-160.0
Austria,98.0,-67.0
Belarus,159.0,21.0
Belgium,-29.0,-9.0
Bosnia,139.0,-128.0
Bulgaria,236.0,-157.0
Croatia,125.0,-104.0
Czech Republic,109.0,-24.0
Denmark,31.0,92.0
Estonia,242.0,142.0
Finland,240.0,217.0
France,-55.0,-85.0
Germany,39.0,3.0
Greece,192.0,-227.0
Hungary,149.0,-76.0
Iceland,-322.0,257.0
Ireland,-184.0,36.0
Italy,72.0,-158.0
Kosovo,179.0,-162.0
Latvia,238.0,108.0
Liechtenstein,37.0,-74.0
Lithuania,211.0,80.0
Luxembourg,-5.0,-25.0
Malta,99.0,-286.0
Moldova,277.0,-72.0
Monaco,11.0,-135.0
Montenegro,156.0,-156.0
Netherlands,-20.0,26.0
North Macedonia,192.0,-178.0
Norway,24.0,189.0
Poland,155.0,15.0
Portugal,-204.0,-218.0
Romania,224.0,-98.0
Russia,346.0,133.0
San Marino,73.0,-133.0
Serbia,176.0,-125.0
Slovakia,162.0,-43.0
Slovenia,98.0,-95.0
Spain,-129.0,-209.0
Sweden,97.0,163.0
Switzerland,16.0,-80.0
Ukraine,314.0,-37.0
United Kingdom,-106.0,30.0
Vatican City,71.0,-173.0
